IID	T2D_PRS	Relative_PRS_Group
HG00187	-2434.8960999999995	High
HG00188	-2436.4192000000003	High
HG00189	-2460.5294	High
HG00190	-2437.7432999999996	High
HG00231	-2482.0139	Intermediate
HG00232	-2481.9323999999997	Intermediate
HG00233	-2460.4912999999997	High
HG00234	-2475.6928000000003	Intermediate
HG00235	-2454.4144999999994	High
HG00236	-2460.4150999999997	High
HG00237	-2429.2700999999993	High
HG00238	-2455.2744000000002	High
HG00239	-2461.6938999999998	High
HG00240	-2438.9257999999995	High
HG00242	-2449.9354999999996	High
HG00243	-2456.5693	High
HG00244	-2459.4990999999995	High
HG00245	-2466.298100000001	High
HG00246	-2459.03	High
HG00250	-2446.7353999999996	High
HG00251	-2474.6002000000003	Intermediate
HG00252	-2468.511700000001	High
HG00253	-2475.5573	Intermediate
HG00254	-2466.7431999999994	High
HG00255	-2461.0548000000003	High
HG00256	-2487.7784999999994	Intermediate
HG00257	-2471.523000000001	High
HG00258	-2465.1869	High
HG00259	-2453.8493	High
HG00260	-2456.541	High
HG00261	-2476.743500000001	Intermediate
HG00262	-2462.3523999999998	High
HG00263	-2453.0627999999997	High
HG00264	-2458.6555000000008	High
HG00265	-2453.1752000000006	High
HG00266	-2440.6100000000006	High
HG00267	-2439.2680000000005	High
HG00268	-2460.789599999999	High
HG00269	-2449.0701999999997	High
HG00271	-2414.0582000000004	High
HG00272	-2445.1728	High
HG00273	-2430.3152999999998	High
HG00274	-2428.9586	High
HG00275	-2468.7183	High
HG00276	-2433.9399	High
HG00277	-2458.3844000000004	High
HG00278	-2427.3130000000006	High
HG00280	-2444.2626999999993	High
HG00281	-2437.1412999999993	High
HG00282	-2437.2313999999997	High
HG00284	-2453.5613	High
HG00285	-2417.3437000000004	High
HG00288	-2418.5913999999993	High
HG00290	-2417.719699999999	High
HG00304	-2441.6634000000004	High
HG00306	-2463.1883	High
HG00308	-2441.7623999999996	High
HG00309	-2433.691	High
HG00310	-2446.9909000000002	High
HG00311	-2447.9168	High
HG00313	-2440.5220000000004	High
HG00315	-2438.2827000000007	High
HG00318	-2461.1951999999997	High
HG00319	-2444.1181	High
HG00320	-2459.6546	High
HG00321	-2442.6140000000005	High
HG00323	-2434.7526	High
HG00324	-2445.1669000000006	High
HG00325	-2448.1291000000006	High
HG00326	-2438.5919000000004	High
HG00327	-2437.0171000000005	High
HG00328	-2443.4718000000003	High
HG00329	-2432.8319	High
HG00330	-2436.362	High
HG00331	-2443.3326000000006	High
HG00332	-2453.1168	High
HG00334	-2459.0392	High
HG00335	-2417.8413000000005	High
HG00336	-2437.6485	High
HG00337	-2450.2234000000003	High
HG00338	-2441.5737000000004	High
HG00339	-2471.7473999999997	High
HG00341	-2467.1515999999997	High
HG00342	-2427.6524000000004	High
HG00343	-2453.7538999999997	High
HG00344	-2485.7887	Intermediate
HG00345	-2413.4028000000008	High
HG00346	-2446.4109	High
HG00349	-2436.477299999999	High
HG00350	-2462.9599	High
HG00351	-2449.5646	High
HG00353	-2445.3086000000003	High
HG00355	-2469.7482	High
HG00356	-2427.4733	High
HG00357	-2433.4152	High
HG00358	-2408.4184	High
HG00360	-2438.896500000001	High
HG00361	-2415.4775000000004	High
HG00362	-2427.279	High
HG00364	-2416.1944000000003	High
HG00365	-2439.1503000000002	High
HG00366	-2450.1408999999994	High
HG00367	-2443.2815	High
HG00368	-2400.403899999999	High
HG00369	-2429.4360000000006	High
HG00371	-2436.1725	High
HG00372	-2451.6269	High
HG00373	-2454.2928999999995	High
HG00375	-2442.5613000000003	High
HG00376	-2417.3343999999997	High
HG00378	-2443.9621	High
HG00379	-2455.0766999999996	High
HG00380	-2449.9122000000007	High
HG00381	-2424.4913000000006	High
HG00382	-2439.8232000000007	High
HG00383	-2423.0635999999995	High
HG00384	-2447.4993000000004	High
HG00403	-2517.5161	Intermediate
HG00404	-2506.8997000000004	Intermediate
HG00406	-2526.2209000000007	Low
HG00407	-2527.9678999999996	Low
HG00409	-2517.463	Intermediate
HG00410	-2512.8654	Intermediate
HG00419	-2509.5769	Intermediate
HG00421	-2514.1316000000006	Intermediate
HG00422	-2511.6954999999994	Intermediate
HG00428	-2527.6391	Low
HG00436	-2516.9379000000013	Intermediate
HG00437	-2513.3714999999997	Intermediate
HG00442	-2520.9864000000002	Intermediate
HG00443	-2528.0147	Low
HG00445	-2523.1082000000006	Intermediate
HG00446	-2508.1154	Intermediate
HG00448	-2525.3466	Low
HG00449	-2522.5547	Intermediate
HG00451	-2508.5173	Intermediate
HG00452	-2518.2958000000003	Intermediate
HG00457	-2516.023	Intermediate
HG00458	-2511.7256000000007	Intermediate
HG00463	-2512.1676	Intermediate
HG00464	-2505.647200000001	Intermediate
HG00472	-2518.4849	Intermediate
HG00473	-2523.7168	Intermediate
HG00475	-2520.3934000000004	Intermediate
HG00476	-2518.1533	Intermediate
HG00478	-2523.6085	Intermediate
HG00479	-2513.2857	Intermediate
HG00500	-2517.2958000000003	Intermediate
HG00513	-2505.6577999999995	Intermediate
HG00524	-2519.8219000000004	Intermediate
HG00525	-2525.0284	Intermediate
HG00530	-2527.3421	Low
HG00531	-2512.3360000000002	Intermediate
HG00533	-2523.9057000000003	Intermediate
HG00534	-2509.4505999999997	Intermediate
HG00536	-2519.9298000000003	Intermediate
HG00537	-2522.0664000000006	Intermediate
HG00542	-2521.8219	Intermediate
HG00543	-2517.2503	Intermediate
HG00551	-2475.7391000000007	Intermediate
HG00553	-2464.8328	High
HG00554	-2476.2967000000003	Intermediate
HG00556	-2521.7834000000003	Intermediate
HG00557	-2517.7101	Intermediate
HG00559	-2517.8909000000003	Intermediate
HG00560	-2522.222899999999	Intermediate
HG00565	-2512.9489000000003	Intermediate
HG00566	-2512.778	Intermediate
HG00580	-2531.5496999999996	Low
HG00581	-2509.8964000000014	Intermediate
HG00583	-2519.9919000000004	Intermediate
HG00584	-2516.8286000000007	Intermediate
HG00589	-2518.981900000001	Intermediate
HG00590	-2510.3146	Intermediate
HG00592	-2514.4771999999994	Intermediate
HG00593	-2535.6454	Low
HG00595	-2514.9006999999997	Intermediate
HG00596	-2518.6027999999997	Intermediate
HG00598	-2523.4892	Intermediate
HG00599	-2514.1722000000004	Intermediate
HG00607	-2516.1551	Intermediate
HG00608	-2523.7422	Intermediate
HG00610	-2521.3692999999994	Intermediate
HG00611	-2505.7238000000007	Intermediate
HG00613	-2519.8451000000005	Intermediate
HG00614	-2513.8737	Intermediate
HG00619	-2516.38	Intermediate
HG00620	-2517.2373	Intermediate
HG00622	-2531.276400000001	Low
HG00623	-2503.2206000000006	Intermediate
HG00625	-2522.5073999999995	Intermediate
HG00626	-2511.0335	Intermediate
HG00628	-2511.2286	Intermediate
HG00629	-2518.8003000000003	Intermediate
HG00631	-2515.1454	Intermediate
HG00632	-2512.0798999999997	Intermediate
HG00634	-2526.166	Low
HG00637	-2474.0350999999996	Intermediate
HG00638	-2479.9208999999996	Intermediate
HG00640	-2470.4681	High
HG00641	-2483.3809999999994	Intermediate
HG00650	-2516.074600000001	Intermediate
HG00651	-2523.8247	Intermediate
HG00653	-2523.332500000001	Intermediate
HG00654	-2522.7317000000007	Intermediate
HG00656	-2505.7068	Intermediate
HG00657	-2528.1326	Low
HG00662	-2515.7134000000005	Intermediate
HG00663	-2510.9769	Intermediate
HG00671	-2530.0303	Low
HG00672	-2518.2201	Intermediate
HG00674	-2522.1448000000005	Intermediate
HG00675	-2517.0081	Intermediate
HG00683	-2510.4044000000004	Intermediate
HG00684	-2518.1890000000008	Intermediate
HG00689	-2509.5218999999997	Intermediate
HG00690	-2520.4810000000007	Intermediate
HG00692	-2522.2257000000004	Intermediate
HG00693	-2525.5227	Low
HG00698	-2523.8816999999995	Intermediate
HG00699	-2511.1686999999997	Intermediate
HG00701	-2516.5937999999996	Intermediate
HG00704	-2521.0411000000004	Intermediate
HG00705	-2510.3367999999996	Intermediate
HG00707	-2522.8038000000006	Intermediate
HG00708	-2510.4057000000003	Intermediate
HG00717	-2518.6666999999993	Intermediate
HG00728	-2525.427	Low
HG00729	-2512.4197	Intermediate
HG00731	-2453.6688000000004	High
HG00732	-2450.5059999999994	High
HG00734	-2495.9792999999995	Intermediate
HG00736	-2472.2775999999994	Intermediate
HG00737	-2464.8719	High
HG00739	-2462.2886999999996	High
HG00740	-2489.371400000001	Intermediate
HG00742	-2473.4094999999998	Intermediate
HG00743	-2481.581800000001	Intermediate
HG00759	-2516.1743	Intermediate
HG00766	-2518.5087999999996	Intermediate
HG00844	-2519.197599999999	Intermediate
HG00851	-2520.2231999999995	Intermediate
HG00864	-2523.7138999999993	Intermediate
HG00867	-2522.2041999999997	Intermediate
HG00879	-2521.9347	Intermediate
HG00881	-2516.3483000000006	Intermediate
HG00956	-2518.1401	Intermediate
HG00978	-2509.9873000000002	Intermediate
HG00982	-2522.5977	Intermediate
HG01028	-2521.9411	Intermediate
HG01029	-2526.4152	Low
HG01031	-2524.4025	Intermediate
HG01046	-2513.856399999999	Intermediate
HG01047	-2460.6057	High
HG01048	-2465.0816000000004	High
HG01049	-2494.6085999999996	Intermediate
HG01051	-2472.5192999999995	Intermediate
HG01052	-2478.2791	Intermediate
HG01054	-2449.3347999999996	High
HG01055	-2482.6708999999996	Intermediate
HG01058	-2458.5374	High
HG01060	-2464.4037000000003	High
HG01061	-2458.9786999999997	High
HG01063	-2501.3111999999996	Intermediate
HG01064	-2464.9981000000007	High
HG01066	-2489.0807999999997	Intermediate
HG01067	-2478.6861000000004	Intermediate
HG01069	-2469.4009000000005	High
HG01070	-2467.7661	High
HG01072	-2466.5474000000004	High
HG01073	-2471.906	Intermediate
HG01075	-2463.770300000001	High
HG01077	-2494.9651000000003	Intermediate
HG01079	-2467.7603	High
HG01080	-2471.6476999999995	High
HG01082	-2482.172600000001	Intermediate
HG01083	-2465.5238	High
HG01085	-2473.1046	Intermediate
HG01086	-2469.1953000000008	High
HG01088	-2470.1961000000006	High
HG01089	-2467.8190000000004	High
HG01092	-2491.5889000000016	Intermediate
HG01094	-2471.7211000000007	High
HG01095	-2478.859799999999	Intermediate
HG01097	-2471.901	Intermediate
HG01098	-2464.2615	High
HG01101	-2478.0016000000014	Intermediate
HG01102	-2471.7954999999997	Intermediate
HG01104	-2471.9429999999998	Intermediate
HG01105	-2491.3673000000003	Intermediate
HG01107	-2480.996600000001	Intermediate
HG01108	-2500.8775999999993	Intermediate
HG01110	-2481.4681000000005	Intermediate
HG01111	-2473.0812000000005	Intermediate
HG01112	-2483.0153000000005	Intermediate
HG01113	-2497.1645	Intermediate
HG01119	-2479.5125	Intermediate
HG01121	-2478.1498	Intermediate
HG01122	-2476.0615000000003	Intermediate
HG01124	-2490.2827000000007	Intermediate
HG01125	-2479.1254999999996	Intermediate
HG01130	-2473.1639	Intermediate
HG01131	-2476.426999999999	Intermediate
HG01133	-2466.5257000000006	High
HG01134	-2467.4067	High
HG01136	-2492.484900000001	Intermediate
HG01137	-2488.0696000000003	Intermediate
HG01139	-2469.4389	High
HG01140	-2480.3588	Intermediate
HG01142	-2508.5541	Intermediate
HG01148	-2469.3771	High
HG01149	-2495.8442000000005	Intermediate
HG01161	-2503.2788000000005	Intermediate
HG01162	-2455.4691	High
HG01164	-2482.5189	Intermediate
HG01167	-2479.5740000000005	Intermediate
HG01168	-2481.2951	Intermediate
HG01170	-2471.6394	High
HG01171	-2473.7463000000002	Intermediate
HG01173	-2477.195	Intermediate
HG01174	-2454.5024000000003	High
HG01176	-2477.5267	Intermediate
HG01177	-2463.9844000000003	High
HG01182	-2481.2607	Intermediate
HG01183	-2470.1882	High
HG01187	-2467.5884	High
HG01188	-2486.4004	Intermediate
HG01190	-2468.7615	High
HG01191	-2471.7311000000004	High
HG01197	-2485.213	Intermediate
HG01198	-2471.0395999999996	High
HG01200	-2456.0042	High
HG01204	-2462.7558000000004	High
HG01205	-2468.9653	High
HG01241	-2514.8086999999996	Intermediate
HG01242	-2505.9139000000014	Intermediate
HG01247	-2486.3976	Intermediate
HG01248	-2466.8665	High
HG01250	-2471.6555999999996	High
HG01251	-2477.0479000000005	Intermediate
HG01253	-2475.5552999999995	Intermediate
HG01254	-2493.024900000001	Intermediate
HG01256	-2476.6166000000003	Intermediate
HG01257	-2469.2168	High
HG01259	-2473.4700000000003	Intermediate
HG01260	-2475.6946000000003	Intermediate
HG01269	-2474.4800000000005	Intermediate
HG01271	-2470.4771000000005	High
HG01272	-2491.8098999999997	Intermediate
HG01275	-2455.5325999999995	High
HG01277	-2477.8633999999997	Intermediate
HG01280	-2487.5860000000002	Intermediate
HG01281	-2469.561	High
HG01284	-2485.773	Intermediate
HG01286	-2456.2875999999997	High
HG01302	-2487.3474	Intermediate
HG01303	-2476.1073000000006	Intermediate
HG01305	-2469.6268	High
HG01308	-2473.6628999999994	Intermediate
HG01311	-2476.8246	Intermediate
HG01312	-2490.778	Intermediate
HG01323	-2464.5411999999997	High
HG01325	-2504.7551999999996	Intermediate
HG01326	-2474.5988	Intermediate
HG01334	-2463.9247	High
HG01341	-2466.5121	High
HG01342	-2513.5089	Intermediate
HG01344	-2488.9321	Intermediate
HG01345	-2459.5773999999997	High
HG01348	-2457.0479	High
HG01350	-2468.2582	High
HG01351	-2476.5822999999996	Intermediate
HG01353	-2488.7211999999995	Intermediate
HG01354	-2475.2796999999996	Intermediate
HG01356	-2486.2025	Intermediate
HG01357	-2465.8619999999996	High
HG01359	-2474.8569	Intermediate
HG01360	-2471.0521	High
HG01362	-2484.581100000001	Intermediate
HG01363	-2496.6081	Intermediate
HG01365	-2493.289300000001	Intermediate
HG01366	-2485.1176000000005	Intermediate
HG01369	-2482.1565999999993	Intermediate
HG01372	-2479.4735	Intermediate
HG01374	-2482.7432999999996	Intermediate
HG01375	-2483.9384000000005	Intermediate
HG01377	-2476.4203999999995	Intermediate
HG01378	-2479.4105999999992	Intermediate
HG01383	-2479.0286999999994	Intermediate
HG01384	-2472.4964999999997	Intermediate
HG01389	-2459.0000999999993	High
HG01390	-2486.2853	Intermediate
HG01392	-2484.4094000000005	Intermediate
HG01393	-2475.2182	Intermediate
HG01395	-2469.2032000000004	High
HG01396	-2481.3743999999997	Intermediate
HG01398	-2479.3358	Intermediate
HG01402	-2465.407600000001	High
HG01403	-2458.9309000000007	High
HG01405	-2464.9640000000004	High
HG01412	-2487.906799999999	Intermediate
HG01413	-2495.664099999999	Intermediate
HG01414	-2476.9757999999997	Intermediate
HG01431	-2480.104300000001	Intermediate
HG01432	-2470.6857999999997	High
HG01435	-2484.0232999999994	Intermediate
HG01437	-2467.5400999999997	High
HG01438	-2483.3931000000002	Intermediate
HG01440	-2482.9782000000005	Intermediate
HG01441	-2472.9316000000003	Intermediate
HG01443	-2491.7195000000006	Intermediate
HG01444	-2486.1282999999994	Intermediate
HG01447	-2486.2299000000003	Intermediate
HG01455	-2479.9726	Intermediate
HG01456	-2493.3319999999994	Intermediate
HG01459	-2479.5759999999996	Intermediate
HG01461	-2474.7956	Intermediate
HG01462	-2477.1085999999996	Intermediate
HG01464	-2475.7058	Intermediate
HG01465	-2467.8286	High
HG01468	-2482.6854000000008	Intermediate
HG01474	-2475.9040999999997	Intermediate
HG01479	-2468.9447	High
HG01485	-2486.8803000000003	Intermediate
HG01486	-2487.2398999999996	Intermediate
HG01488	-2476.3936	Intermediate
HG01489	-2482.7844000000005	Intermediate
HG01491	-2495.736100000001	Intermediate
HG01492	-2492.9557999999997	Intermediate
HG01494	-2494.5584000000003	Intermediate
HG01495	-2496.4671999999996	Intermediate
HG01497	-2493.1567999999997	Intermediate
HG01498	-2474.6817000000005	Intermediate
HG01500	-2458.0458000000003	High
HG01501	-2476.950399999999	Intermediate
HG01503	-2470.1703	High
HG01504	-2439.6986	High
HG01506	-2450.3520000000003	High
HG01507	-2437.1371999999997	High
HG01509	-2443.744800000001	High
HG01510	-2466.466999999999	High
HG01512	-2446.8500999999997	High
HG01513	-2460.2040999999995	High
HG01515	-2480.0211	Intermediate
HG01516	-2472.9446000000003	Intermediate
HG01518	-2469.8183	High
HG01519	-2462.8696	High
HG01521	-2465.5792	High
HG01522	-2455.161	High
HG01524	-2437.3109999999997	High
HG01525	-2446.727499999999	High
HG01527	-2449.3193000000006	High
HG01528	-2453.8223000000003	High
HG01530	-2455.0341	High
HG01531	-2476.484	Intermediate
HG01536	-2440.6442	High
HG01537	-2448.0565	High
HG01550	-2468.4719000000005	High
HG01551	-2500.2832000000003	Intermediate
HG01556	-2493.7175999999995	Intermediate
HG01565	-2497.5348999999997	Intermediate
HG01566	-2479.475299999999	Intermediate
HG01571	-2484.3990999999996	Intermediate
HG01572	-2488.8979999999997	Intermediate
HG01577	-2469.7779000000005	High
HG01578	-2480.6797	Intermediate
HG01583	-2493.546799999999	Intermediate
HG01586	-2493.3475999999996	Intermediate
HG01589	-2497.5418999999993	Intermediate
HG01593	-2486.8183	Intermediate
HG01595	-2527.7099	Low
HG01596	-2522.1289999999995	Intermediate
HG01597	-2516.8607	Intermediate
HG01598	-2520.5556999999994	Intermediate
HG01599	-2527.8672	Low
HG01600	-2522.6239	Intermediate
HG01602	-2468.5200999999997	High
HG01603	-2451.7025999999996	High
HG01605	-2475.0225	Intermediate
HG01606	-2454.7896	High
HG01607	-2479.5738000000006	Intermediate
HG01608	-2454.4781	High
HG01610	-2457.9022	High
HG01612	-2452.9670999999994	High
HG01613	-2467.7266999999997	High
HG01615	-2464.4565	High
HG01617	-2459.0706	High
HG01618	-2465.7889999999993	High
HG01619	-2472.8511000000003	Intermediate
HG01620	-2455.5878	High
HG01623	-2467.4315	High
HG01624	-2455.6438	High
HG01625	-2443.5989	High
HG01626	-2471.9865000000004	Intermediate
HG01628	-2474.1883	Intermediate
HG01630	-2472.0027000000005	Intermediate
HG01631	-2467.193799999999	High
HG01632	-2477.2163000000005	Intermediate
HG01668	-2444.2156999999997	High
HG01669	-2446.5875000000005	High
HG01670	-2473.3555	Intermediate
HG01672	-2455.7655000000004	High
HG01673	-2447.9722	High
HG01675	-2459.229600000001	High
HG01676	-2457.9635000000007	High
HG01678	-2474.0589	Intermediate
HG01679	-2452.4781999999996	High
HG01680	-2451.9494	High
HG01682	-2456.7043000000003	High
HG01684	-2441.3896999999997	High
HG01685	-2464.1315999999997	High
HG01686	-2478.9021999999995	Intermediate
HG01694	-2469.3067999999994	High
HG01695	-2462.756299999999	High
HG01697	-2458.646100000001	High
HG01699	-2470.5735999999997	High
HG01700	-2452.8542	High
HG01702	-2461.7401000000004	High
HG01704	-2447.3302000000003	High
HG01705	-2454.3346	High
HG01707	-2464.2653	High
HG01708	-2465.3823	High
HG01709	-2457.221699999999	High
HG01710	-2464.6240999999995	High
HG01746	-2466.9821	High
HG01747	-2480.4299999999994	Intermediate
HG01756	-2453.1150000000002	High
HG01757	-2473.0278000000003	Intermediate
HG01761	-2468.9475000000007	High
HG01762	-2454.0788	High
HG01765	-2465.4211999999993	High
HG01766	-2490.8271999999993	Intermediate
HG01767	-2470.1331	High
HG01768	-2453.736700000001	High
HG01770	-2459.132	High
HG01771	-2468.4455	High
HG01773	-2442.2428000000004	High
HG01775	-2477.1182000000003	Intermediate
HG01776	-2442.9153999999994	High
HG01777	-2456.3266999999996	High
HG01779	-2429.0375999999997	High
HG01781	-2450.817	High
HG01783	-2471.2743000000005	High
HG01784	-2468.2704	High
HG01785	-2460.9066000000003	High
HG01786	-2464.7437	High
HG01789	-2459.8907	High
HG01790	-2461.0793	High
HG01791	-2464.477	High
HG01794	-2523.106	Intermediate
HG01795	-2528.3583000000003	Low
HG01796	-2513.048500000001	Intermediate
HG01797	-2518.0407	Intermediate
HG01798	-2527.1866	Low
HG01799	-2522.3081999999995	Intermediate
HG01800	-2517.0767000000005	Intermediate
HG01801	-2514.0678	Intermediate
HG01802	-2525.9884	Low
HG01804	-2510.8598000000006	Intermediate
HG01805	-2515.8925999999997	Intermediate
HG01806	-2521.4923	Intermediate
HG01807	-2519.2007000000003	Intermediate
HG01808	-2517.4656	Intermediate
HG01809	-2515.8652000000006	Intermediate
HG01810	-2518.8228000000004	Intermediate
HG01811	-2508.8764000000006	Intermediate
HG01812	-2522.5571	Intermediate
HG01813	-2516.6459999999997	Intermediate
HG01815	-2516.6218000000003	Intermediate
HG01816	-2528.2597	Low
HG01817	-2516.8282999999988	Intermediate
HG01840	-2523.0514999999996	Intermediate
HG01841	-2526.2178	Low
HG01842	-2516.8158	Intermediate
HG01843	-2513.7666	Intermediate
HG01844	-2517.7427000000002	Intermediate
HG01845	-2520.7848000000004	Intermediate
HG01846	-2529.598	Low
HG01847	-2520.9897000000005	Intermediate
HG01848	-2521.2983000000004	Intermediate
HG01849	-2525.1411	Intermediate
HG01850	-2518.0824999999995	Intermediate
HG01851	-2529.180399999999	Low
HG01852	-2522.9543	Intermediate
HG01853	-2521.785	Intermediate
HG01855	-2526.2463	Low
HG01857	-2506.3682	Intermediate
HG01858	-2511.2538999999997	Intermediate
HG01859	-2516.3831999999998	Intermediate
HG01860	-2524.6808	Intermediate
HG01861	-2523.2767000000003	Intermediate
HG01862	-2513.2175	Intermediate
HG01863	-2529.7692	Low
HG01864	-2517.2432	Intermediate
HG01865	-2517.0476	Intermediate
HG01866	-2516.3534	Intermediate
HG01867	-2527.7296999999994	Low
HG01868	-2512.1898999999994	Intermediate
HG01869	-2512.1878	Intermediate
HG01870	-2524.3557000000005	Intermediate
HG01871	-2523.6547000000005	Intermediate
HG01872	-2516.8310999999994	Intermediate
HG01873	-2526.6924999999997	Low
HG01874	-2525.8753000000006	Low
HG01878	-2524.1284000000005	Intermediate
HG01879	-2515.9624	Intermediate
HG01880	-2516.9466	Intermediate
HG01882	-2531.3556000000003	Low
HG01883	-2527.9490000000005	Low
HG01885	-2534.7932999999994	Low
HG01886	-2527.6408000000006	Low
HG01889	-2518.7024000000006	Intermediate
HG01890	-2530.550999999999	Low
HG01892	-2497.2627999999995	Intermediate
HG01893	-2479.3573	Intermediate
HG01894	-2519.4665	Intermediate
HG01896	-2524.9979	Intermediate
HG01912	-2531.2735000000002	Low
HG01914	-2522.593800000001	Intermediate
HG01915	-2520.9401000000003	Intermediate
HG01917	-2494.2030999999997	Intermediate
HG01918	-2485.3318000000004	Intermediate
HG01920	-2494.7718999999997	Intermediate
HG01921	-2489.7891999999997	Intermediate
HG01923	-2509.6578999999997	Intermediate
HG01924	-2494.2567000000004	Intermediate
HG01926	-2496.3558999999996	Intermediate
HG01927	-2495.264	Intermediate
HG01932	-2476.9073000000008	Intermediate
HG01933	-2511.339899999999	Intermediate
HG01935	-2484.1232999999997	Intermediate
HG01936	-2470.8206	High
HG01938	-2500.5717000000004	Intermediate
HG01939	-2490.5037	Intermediate
HG01941	-2502.9637999999995	Intermediate
HG01942	-2489.642800000001	Intermediate
HG01944	-2505.8342999999995	Intermediate
HG01945	-2499.9878999999996	Intermediate
HG01947	-2484.8806000000004	Intermediate
HG01948	-2493.3757999999993	Intermediate
HG01950	-2481.7925	Intermediate
HG01951	-2499.2196	Intermediate
HG01953	-2508.6829000000002	Intermediate
HG01954	-2489.9959000000003	Intermediate
HG01956	-2520.4616	Intermediate
HG01958	-2526.9138000000003	Low
HG01961	-2504.1936	Intermediate
HG01965	-2493.730699999999	Intermediate
HG01967	-2478.6181	Intermediate
HG01968	-2497.5956	Intermediate
HG01970	-2486.6321	Intermediate
HG01971	-2492.8687999999993	Intermediate
HG01973	-2486.4683999999997	Intermediate
HG01974	-2506.3538	Intermediate
HG01976	-2489.2474	Intermediate
HG01977	-2477.318399999999	Intermediate
HG01979	-2492.0389	Intermediate
HG01980	-2496.7331	Intermediate
HG01982	-2478.0605	Intermediate
HG01985	-2525.7107	Low
HG01986	-2516.2808	Intermediate
HG01988	-2503.4876999999997	Intermediate
HG01989	-2511.2286999999997	Intermediate
HG01990	-2524.1338	Intermediate
HG01991	-2491.6739000000007	Intermediate
HG01992	-2494.9514999999997	Intermediate
HG01997	-2481.8606	Intermediate
HG02002	-2481.9375	Intermediate
HG02003	-2482.0203000000006	Intermediate
HG02006	-2497.2718	Intermediate
HG02008	-2492.1169999999997	Intermediate
HG02009	-2519.6055999999994	Intermediate
HG02010	-2514.9959	Intermediate
HG02012	-2519.7266999999997	Intermediate
HG02013	-2533.0198000000005	Low
HG02014	-2522.1045000000004	Intermediate
HG02016	-2506.1493	Intermediate
HG02017	-2517.1224000000007	Intermediate
HG02019	-2521.0336	Intermediate
HG02020	-2512.2661999999996	Intermediate
HG02023	-2515.0975999999996	Intermediate
HG02025	-2515.0433	Intermediate
HG02026	-2517.7959	Intermediate
HG02028	-2514.2248999999997	Intermediate
HG02029	-2507.4045999999994	Intermediate
HG02031	-2519.9035000000003	Intermediate
HG02032	-2511.5987999999998	Intermediate
HG02035	-2520.5212	Intermediate
HG02040	-2512.8933	Intermediate
HG02047	-2517.7539999999995	Intermediate
HG02048	-2515.1911	Intermediate
HG02049	-2519.881299999999	Intermediate
HG02050	-2520.6614	Intermediate
HG02051	-2529.1269	Low
HG02052	-2531.623400000001	Low
HG02053	-2517.2434	Intermediate
HG02054	-2526.072900000001	Low
HG02057	-2522.6894999999995	Intermediate
HG02058	-2519.4871	Intermediate
HG02060	-2517.4143	Intermediate
HG02061	-2516.1221999999993	Intermediate
HG02064	-2522.3596	Intermediate
HG02067	-2543.1962000000003	Low
HG02069	-2528.7499000000003	Low
HG02070	-2527.6989000000003	Low
HG02072	-2523.0219	Intermediate
HG02073	-2510.5669	Intermediate
HG02075	-2507.4778	Intermediate
HG02076	-2504.1355999999996	Intermediate
